title,genres,tmdbId
RRR (2022),Action|Drama|Adventure,579974
3 Idiots (2009),Comedy|Drama,20453
Lagaan: Once Upon a Time in India (2001),Drama|Musical|Sport|History|Adventure,19666
Bahubali: The Beginning (2015),Action|Drama|Adventure|Fantasy,256040
Dangal (2016),Action|Drama|Sport|Family|Comedy,360814
Bahubali 2: The Conclusion (2017),Action|Drama|Adventure|Fantasy,350312
Eega (2012),Action|Drama|Fantasy|Romance,148265
Salaar (2023),Action|Drama|Thriller|Crime,770906
Hanu-Man (2023),Action|Drama|Fantasy|Adventure|Comedy,869760
Pushpa: The Rise (2021),Action|Drama|Thriller,690957
Pushpa: The Rule (2023),Action|Drama|Thriller,857598
F1 (2023),Documentary|Sport|Action|Drama,911430
Superman (2025),Action|Adventure|Fantasy|Science Fiction,1061474
The Family Star (2024),Comedy|Drama|Family|Romance|Action,1141320
Geetha Govindam (2018),Romance|Comedy|Drama,540468
Saahoo (2019),Action|Drama|Thriller,454292
Kalki 2898-AD (2024),Action|Drama|Science Fiction|Thriller|Fantasy,801688
Mirai (2025),Science Fiction|Action|Adventure|Fantasy,1222479
Devara: Part 1 (2024),Action|Drama,811941
Ala Vaikunthapurramuloo (2020),Action|Drama|Musical|Romance|Comedy,628241
Aravindha Sametha Veera Raghava (2018),Action|Drama|Thriller,534530
Manam (2014),Drama|Romance|Comedy|Fantasy|Family,253533
Mahanati (2018),Drama|Biography|History,459713
Sye Raa Narasimha Reddy (2019),Action|Drama|History|War,496495
Vikram (2022),Action|Thriller|Crime|Drama,743563
Chandramukhi (2022),Drama|Romance,961306
The Fantastic 4: First Steps (2025),Science Fiction|Adventure,617126
Avengers: Endgame (2019),Action|Adventure|Science Fiction,299534
Mission: Impossible - The Final Reckoning (2025),Action|Adventure|Thriller,575265
Coolie (2025),Action|Crime|Thriller,1153399
365 Days: This Day (2022),Drama|Romance,829557
Mahavatar Narsimha (2025),Action|Drama|Fantasy|Animation,1383072
Oppenheimer (2023),Drama|History,872585
K.G.F: Chapter 1 (2018),Action|Crime|Adventure|Thriller,564147
K.G.F: Chapter 2 (2022),Action|Drama|Thriller|Crime,587412
Race Gurram (2014),Action|Comedy,262227
Naa Peru Surya - Naa Illu India (2018),Action,500494
DJ: Duvvada Jagannadham (2017),Action|Comedy|Crime,443635
Sarrainodu (2016),Action|Drama,374954
Srimanthudu (2015),Action|Drama,353533
Kick 2 (2015),Action|Comedy|Romance,370817
Kanchana (2011),Horror|Comedy,75064
Kanchana 2 (2015),Horror|Comedy,330425
Uri: The Surgical Strike (2019),Action|Drama|History|War,554600
Animal (2023),Action|Drama|Crime,781732
Leo (2023),Action|Crime|Thriller,949229
Temper (2015),Àction|Crime|Drama,325699
Nannaku Prematho... (2016),Action|Drama|Thriller,365187
Spider-Man: Into the Spider-Verse (2018),Action|Adventure|Animation|Science Fiction,324857
Aquaman (2018),Action|Adventure|Fantasy,297802
Dune (2021),Science Fiction|Adventure|Drama,438631
